Name,City,Country,IATA,Latitude,Longitude,Altitude,destination_airport,destination_city,destination_country,destination_airport_lat,destination_airport_lon,destination_airport_alt,destination_airport_IATA
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Dubai International Airport,Dubai,United Arab Emirates,25.252799987800003,55.3643989563,62.0,DXB
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599,-80.152702,9.0,FLL
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Taiwan Taoyuan International Airport,Taipei,Taiwan,25.0777,121.233002,106.0,TPE
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Beijing Capital International Airport,Beijing,China,40.0801010131836,116.58499908447266,116.0,PEK
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Tocumen International Airport,Panama City,Panama,9.0713596344,-79.3834991455,135.0,PTY
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Guangzhou Baiyun International Airport,Guangzhou,China,23.39240074157715,113.29900360107422,50.0,CAN
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,-11.0,AMS
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Del Bajío International Airport,Del Bajio,Mexico,20.9935,-101.481003,5956.0,BJX
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Philip S. W. Goldson International Airport,Belize City,Belize,17.539100646972653,-88.30819702148438,15.0,BZE
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,39.0488014221,-84.6678009033,896.0,CVG
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529052734,-83.35340118408203,645.0,DTW
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Spokane International Airport,Spokane,United States,47.61989974975586,-117.53399658203124,2376.0,GEG
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Tokyo Haneda International Airport,Tokyo,Japan,35.552299,139.779999,35.0,HND
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Incheon International Airport,Seoul,South Korea,37.46910095214844,126.45099639892578,23.0,ICN
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Daniel Oduber Quiros International Airport,Liberia,Costa Rica,10.5933,-85.544403,270.0,LIR
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,MCI
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Memphis International Airport,Memphis,United States,35.04240036010742,-89.97669982910156,341.0,MEM
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Metropolitan Oakland International Airport,Oakland,United States,37.721298,-122.221001,9.0,OAK
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Juan Santamaria International Airport,San Jose,Costa Rica,9.993860244750977,-84.20880126953125,3021.0,SJO
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Sheremetyevo International Airport,Moscow,Russia,55.972599,37.4146,622.0,SVO
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Tampa International Airport,Tampa,United States,27.975500106811523,-82.533203125,26.0,TPA
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Stockholm-Arlanda Airport,Stockholm,Sweden,59.651901245117,17.918600082397,137.0,ARN
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Copenhagen Kastrup Airport,Copenhagen,Denmark,55.617900848389,12.656000137329,17.0,CPH
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,,,,,,,
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,HOU
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Chicago Midway International Airport,Chicago,United States,41.785999,-87.752403,620.0,MDW
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,General Mitchell International Airport,Milwaukee,United States,42.94720077514648,-87.89659881591797,723.0,MKE
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,PWM
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Bellingham International Airport,Bellingham,United States,48.79280090332031,-122.53800201416016,170.0,BLI
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Provo Municipal Airport,Provo,United States,40.219200134277,-111.72299957275,4497.0,PVU
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556,364.0,FRA
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Munich Airport,Munich,Germany,48.353802,11.7861,1487.0,MUC
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Zürich Airport,Zurich,Switzerland,47.464699,8.54917,1416.0,ZRH
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Ben Gurion International Airport,Tel-aviv,Israel,32.011398315429695,34.88669967651367,135.0,TLV
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Auckland International Airport,Auckland,New Zealand,-37.0080986023,174.792007446,23.0,AKL
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Rarotonga International Airport,Avarua,Cook Islands,-21.2026996613,-159.805999756,19.0,RAR
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Ninoy Aquino International Airport,Manila,Philippines,14.5086,121.019997,75.0,MNL
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,King Abdulaziz International Airport,Jeddah,Saudi Arabia,21.6796,39.156502,48.0,JED
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Istanbul Airport,Istanbul,Turkey,41.275278,28.751944,325.0,IST
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Aspen-Pitkin Co/Sardy Field,Aspen,United States,39.22320175,-106.8690033,7820.0,ASE
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Meadows Field,Bakersfield,United States,35.43360138,-119.0569992,510.0,BFL
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Boise Air Terminal/Gowen Field,Boise,United States,43.5644,-116.223,2871.0,BOI
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.1754,-76.668297,146.0,BWI
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Mc Clellan-Palomar Airport,Carlsbad,United States,33.12829971,-117.2799988,331.0,CLD
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,CLE
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,City of Colorado Springs Municipal Airport,Colorado Springs,United States,38.805801,-104.700996,6187.0,COS
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,General Guadalupe Victoria International Airport,Durango,Mexico,24.1242008209,-104.527999878,6104.0,DGO
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Newark Liberty International Airport,Newark,United States,40.69250106811523,-74.168701171875,18.0,EWR
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Wichita Eisenhower National Airport,Wichita,United States,37.649899,-97.433098,1333.0,ICT
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Hilo International Airport,Hilo,United States,19.721399307250977,-155.04800415039062,38.0,ITO
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Palm Springs International Airport,Palm Springs,United States,33.829700469970696,-116.50700378417967,477.0,PSP
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,San Antonio International Airport,San Antonio,United States,29.533700942993164,-98.46980285644533,809.0,SAT
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Santa Barbara Municipal Airport,Santa Barbara,United States,34.42620087,-119.8399963,13.0,SBA
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,San Luis County Regional Airport,San Luis Obispo,United States,35.2368011475,-120.641998291,212.0,SBP
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,United States,34.89889908,-120.4570007,261.0,SMX
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Yuma MCAS/Yuma International Airport,Yuma,United States,32.65660095,-114.6060028,213.0,YUM
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Vnukovo International Airport,Moscow,Russia,55.5914993286,37.2615013123,685.0,VKO
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Jesús Terán Paredo International Airport,Aguascalientes,Mexico,21.705601,-102.318001,6112.0,AGU
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,General Francisco J. Mujica International Airport,Morelia,Mexico,19.849899292,-101.025001526,6033.0,MLM
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Licenciado y General Ignacio Lopez Rayon Airport,Uruapan,Mexico,19.396699905395508,-102.03900146484376,5258.0,UPN
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,General Leobardo C. Ruiz International Airport,Zacatecas,Mexico,22.8971004486,-102.68699646,7141.0,ZCL
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Merced Regional Macready Field,Merced,United States,37.28469849,-120.5139999,155.0,MCE
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Ernest A. Love Field,Prescott,United States,34.65449905,-112.4199982,5045.0,PRC
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Visalia Municipal Airport,Visalia,United States,36.3186988831,-119.392997742,295.0,VIS
